neighborhood_id,offense_code,offense_type_id,victim_count
athmar-park,912,homicide-other,11
athmar-park,1006,kidnap-adult-victim,2
athmar-park,1006,kidnap-dv,2
athmar-park,1099,false-imprisonment,7
athmar-park,1102,sex-aslt-rape,19
athmar-park,1102,sex-aslt-rape-pot,5
athmar-park,1109,sex-aslt-non-rape,7
athmar-park,1109,sex-aslt-non-rape-pot,4
athmar-park,1199,sex-aslt-w-object,1
athmar-park,1202,robbery-business,18
athmar-park,1205,robbery-street,35
athmar-park,1208,robbery-residence,4
athmar-park,1210,robbery-purse-snatch-w-force,5
athmar-park,1212,robbery-car-jacking,15
athmar-park,1311,agg-aslt-police-weapon,9
athmar-park,1313,assault-dv,73
athmar-park,1313,assault-police-simple,2
athmar-park,1313,assault-simple,141
athmar-park,1314,weapon-fire-into-occ-bldg,75
athmar-park,1314,weapon-fire-into-occ-veh,16
athmar-park,1315,agg-aslt-shoot,16
athmar-park,1315,aggravated-assault,87
athmar-park,1315,aggravated-assault-dv,42
athmar-park,1315,menacing-felony-w-weap,86
athmar-park,1316,harassment-stalking-dv,3
athmar-park,1316,threats-to-injure,59
athmar-park,2005,arson-business,3
athmar-park,2006,arson-residence,1
athmar-park,2007,arson-other,3
athmar-park,2099,arson-vehicle,3
athmar-park,2199,extortion,5
athmar-park,2201,burglary-safe,1
athmar-park,2202,burglary-residence-by-force,72
athmar-park,2203,burg-auto-theft-busn-w-force,10
athmar-park,2203,burglary-business-by-force,137
athmar-park,2204,burg-auto-theft-resd-no-force,1
athmar-park,2204,burglary-residence-no-force,56
athmar-park,2205,burg-auto-theft-busn-no-force,1
athmar-park,2205,burglary-business-no-force,10
athmar-park,2206,burglary-poss-of-tools,4
athmar-park,2302,theft-purse-snatch-no-force,1
athmar-park,2303,theft-shoplift,96
athmar-park,2304,theft-parts-from-vehicle,317
athmar-park,2305,theft-items-from-vehicle,289
athmar-park,2308,theft-from-bldg,38
athmar-park,2310,theft-from-mails,3
athmar-park,2399,theft-bicycle,26
athmar-park,2399,theft-other,200
athmar-park,2399,theft-stln-vehicle-trailer,14
athmar-park,2404,theft-of-motor-vehicle,530
athmar-park,2501,forgery-checks,12
athmar-park,2503,forgery-counterfeit-of-obj,2
athmar-park,2506,forgery-poss-of-forged-inst,4
athmar-park,2589,drug-forgery-to-obtain,3
athmar-park,2589,forgery-other,5
athmar-park,2602,theft-fail-return-rent-veh,1
athmar-park,2604,fraud-criminal-impersonation,15
athmar-park,2605,theft-unauth-use-of-ftd,4
athmar-park,2606,fraud-nsf-closed-account,4
athmar-park,2607,fraud-by-telephone,12
athmar-park,2609,fraud-by-use-of-computer,8
athmar-park,2699,drug-fraud-to-obtain,4
athmar-park,2699,pawn-broker-viol,2
athmar-park,2699,theft-of-services,6
athmar-park,2799,theft-embezzle,1
athmar-park,2803,stolen-property-buy-sell-rec,2
athmar-park,2999,criminal-mischief-graffiti,40
athmar-park,2999,criminal-mischief-mtr-veh,238
athmar-park,2999,criminal-mischief-other,180
athmar-park,3510,drug-heroin-sell,15
athmar-park,3512,drug-heroin-possess,34
athmar-park,3520,drug-opium-or-deriv-sell,11
athmar-park,3522,drug-opium-or-deriv-possess,8
athmar-park,3530,drug-cocaine-sell,15
athmar-park,3532,drug-cocaine-possess,22
athmar-park,3540,drug-synth-narcotic-sell,2
athmar-park,3542,drug-synth-narcotic-possess,3
athmar-park,3550,drug-poss-paraphernalia,23
athmar-park,3560,drug-marijuana-sell,3
athmar-park,3562,drug-marijuana-possess,3
athmar-park,3563,drug-marijuana-cultivation,11
athmar-park,3571,drug-methampetamine-sell,31
athmar-park,3572,drug-methampetamine-possess,67
athmar-park,3599,drug-make-sell-other-drug,3
athmar-park,3599,drug-pcs-other-drug,41
athmar-park,3601,sex-aslt-fondle-adult-victim,10
athmar-park,3605,indecent-exposure,3
athmar-park,3612,sex-off-fail-to-register,2
athmar-park,3700,obscene-material-possess,1
athmar-park,4002,prostitution-pimping,1
athmar-park,4102,liquor-sell,7
athmar-park,4104,liquor-possession,9
athmar-park,4801,police-resisting-arrest,7
athmar-park,4802,police-obstruct-investigation,1
athmar-park,4803,police-false-information,17
athmar-park,4813,police-disobey-lawful-order,3
athmar-park,4899,police-interference,14
athmar-park,5006,intimidation-of-a-witness,2
athmar-park,5016,violation-of-court-order,39
athmar-park,5016,violation-of-custody-order,1
athmar-park,5016,violation-of-restraining-order,63
athmar-park,5099,obstructing-govt-operation,4
athmar-park,5201,weapon-altering-serial-number,1
athmar-park,5202,weapon-carrying-concealed,7
athmar-park,5203,weapon-carrying-prohibited,1
athmar-park,5211,explosive-incendiary-dev-pos,1
athmar-park,5212,weapon-by-prev-offender-powpo,46
athmar-park,5212,weapon-poss-illegal-dangerous,11
athmar-park,5213,weapon-flourishing,3
athmar-park,5213,weapon-unlawful-discharge-of,157
athmar-park,5215,bomb-threat,1
athmar-park,5299,weapon-other-viol,8
athmar-park,5309,harassment,5
athmar-park,5309,harassment-dv,3
athmar-park,5309,harassment-sexual-in-nature,3
athmar-park,5311,public-fighting,3
athmar-park,5312,disturbing-the-peace,43
athmar-park,5313,curfew,21
athmar-park,5399,public-peace-other,3
athmar-park,5707,criminal-trespassing,65
athmar-park,5802,contraband-into-prison,1
athmar-park,6201,animal-cruelty-to,1
athmar-park,6205,illegal-dumping,6
athmar-park,6299,littering,1
athmar-park,7099,reckless-endangerment,4
athmar-park,7199,property-crimes-other,2
athmar-park,7399,fireworks-possession,4
athmar-park,7399,public-order-crimes-other,37
auraria,912,homicide-other,1
auraria,1006,kidnap-adult-victim,2
auraria,1006,kidnap-dv,1
auraria,1102,sex-aslt-rape,12
auraria,1102,sex-aslt-rape-pot,1
auraria,1109,sex-aslt-non-rape,8
auraria,1202,robbery-business,1
auraria,1205,robbery-street,23
auraria,1210,robbery-purse-snatch-w-force,2
auraria,1212,robbery-car-jacking,1
auraria,1311,agg-aslt-police-weapon,1
auraria,1313,assault-dv,26
auraria,1313,assault-police-simple,17
auraria,1313,assault-simple,198
auraria,1314,weapon-fire-into-occ-bldg,3
auraria,1314,weapon-fire-into-occ-veh,7
auraria,1315,aggravated-assault,44
auraria,1315,aggravated-assault-dv,6
auraria,1315,menacing-felony-w-weap,28
auraria,1316,harassment-stalking-dv,1
auraria,1316,threats-to-injure,48
auraria,2005,arson-business,1
auraria,2007,arson-other,3
auraria,2009,arson-public-building,2
auraria,2199,extortion,1
auraria,2201,burglary-safe,1
auraria,2202,burglary-residence-by-force,7
auraria,2203,burg-auto-theft-busn-w-force,1
auraria,2203,burglary-business-by-force,32
auraria,2204,burglary-residence-no-force,9
auraria,2205,burg-auto-theft-busn-no-force,1
