neighborhood_id,victim_count
athmar-park,3899
auraria,3211
baker,6852
barnum,2947
barnum-west,1902
bear-valley,2692
belcaro,1659
berkeley,3305
capitol-hill,14655
cbd,14651
central-park,17864
chaffee-park,1815
cheesman-park,5220
cherry-creek,4145
city-park,2066
city-park-west,5210
civic-center,10130
clayton,2617
cole,2523
college-view-south-platte,4461
congress-park,3884
cory-merrill,2136
country-club,887
dia,14642
east-colfax,8843
elyria-swansea,4809
five-points,23074
fort-logan,2011
gateway-green-valley-ranch,10536
globeville,4425
goldsmith,3427
hale,3467
hampden,8098
hampden-south,6012
harvey-park,3817
harvey-park-south,3105
highland,6364
hilltop,2230
indian-creek,718
jefferson-park,2779
kennedy,2453
lincoln-park,8656
lowry-field,3995
mar-lee,4500
marston,2672
montbello,11550
montclair,2659
north-capitol-hill,7817
north-park-hill,2382
northeast-park-hill,7188
overland,3260
platt-park,2584
regis,1882
rosedale,1100
ruby-hill,4037
skyland,1155
sloan-lake,2981
south-park-hill,2627
southmoor-park,2267
speer,6389
sun-valley,2367
sunnyside,4301
union-station,12466
university,2724
university-hills,3139
university-park,3202
valverde,2693
villa-park,4834
virginia-village,4769
washington-park,1963
washington-park-west,2912
washington-virginia-vale,5688
wellshire,381
west-colfax,8408
west-highland,3616
westwood,7070
whittier,2363
windsor,4038
