offense_type_name,offense_category_name
Accessory / conspiracy to crime,3931
Accessory to commit homicide,160
Aiding the act of prostitution,4
Aiding the escape of a prisoner,2
Altering a vehicle VIN number,57
Altering the serial number,17
Arson,301
Arson of a business,125
Arson of a residence,147
Arson of a vehicle,237
Arson to a public building,19
Assault causing minor bodily injury,39344
Assault causing minor bodily injury - domestic violence,19672
Assault causing minor bodily injury to a police officer,19672
Assault causing serious bodily injury,15663
Assault causing serious bodily injury - domestic violence,15663
Assault causing serious bodily injury involving firing a gun,15663
Assault causing serious bodily injury of a police officer using a gun,18
Assault causing serious bodily injury of a police officer using a weapon,392
Assault causing serious bodily injury using a gun,1550
Bicycle theft,34236
Bigamy,1
Bomb threat,187
Bribery,42
Burglary and auto theft at a business with forced entry,8616
Burglary and auto theft at a business without forced entry,2520
Burglary and auto theft at a residence with forced entry,6423
Burglary and auto theft at a residence without forced entry,9540
Burglary of a business with forced entry,8616
Burglary of a business without forced entry,2520
Burglary of a residence with forced entry,6423
Burglary of a residence without forced entry,9540
Burglary of a safe,122
"Buy, sell or receive stolen property",230
Carjacking - armed,962
Carrying a concealed weapon,405
Carrying a prohibited weapon,300
Conspiracy to commit homicide,160
Counterfeiting an object,57
Crimes against a person - other,160
Criminal impersonation,679
Criminal mischief - graffiti,43359
Criminal mischief - other,43359
Criminal mischief to a motor vehicle,43359
Criminal trespassing,14723
Cruelty to animals,153
Cultivation of marijuana,110
Curfew,621
Disarming a peace officer,160
Display for prostitution,4
Disturbing the peace,4158
Domestic violence kidnapping,479
Eavesdropping,2
Embezzlement by an employee,108
Engaging in prostitution,516
Escape of a prisoner,67
Extortion - other,282
Failure to obey a lawful order by police,287
"Failure to pay cab, bus or rail fare",1375
Failure to register as a sex offender,1308
Failure to return rental vehicle,765
False Imprisonment,540
Flourishing a weapon at another person,15663
Flourishing of a weapon,7995
Fondling of an adult,778
Forcible Purse Snatching,229
Forgery - other,296
Forgery of checks,885
Forgery to obtain drugs,296
Fraud - other,1375
Fraud by check due to insufficient funds,140
Fraud by telephone,1431
Fraud by use of computer,1335
Fraud to obtain drugs,1375
Gambling - betting or wagering,1
Gambling - gaming operation,4
Gathering personal information by deception,679
Giving false information to police,1838
Harassment,2321
Harassment - DV,2321
Harassment - sexual in nature,2321
Harassment by stalking - domestic violence,5481
Homicide by a family member,30
Homicide by negligence,2
Homicide by other means,376
Homicide of a Police Officer w/gun,4
Identity theft,679
Illegal dumping,149
Illegal possession of liquor,2606
Illegal sale of liquor,283
Inciting a riot,2
Indecent exposure,686
Intimidation of a witness,120
Kidnap an adult,479
Liquor law violation - other,1
Littering,174
Loitering,5
Making a false report to police,1838
Manufacture of a barbiturate,1
Manufacture of a hallucinogenic drug,6
Manufacture of liquor,3
Manufacture of methampetamine,38
Manufacture of obscene material,5
Manufacture or sell other dangerous drugs,3410
Money laundering,4
Motor vehicle theft,54834
Obscene harassment,2321
Obstructing police,1269
Obstruction of a criminal investigation,85
Obstruction of a government operation,215
Other conversation offense,174
Other dangerous drugs - PCS,3410
Other environmental or animal offense,174
Parole violation,7
Pawn broker violation,1375
Pimping for prostitution,10
Pocketpicking,149
Police impersonation,679
Possession of a barbiturate,11
Possession of a dangerous animal,174
Possession of a forged financial transaction device (credit & debit cards),126
Possession of a forged instrument,126
Possession of a hallucinogenic drug,75
Possession of a synthetic narcotic drug,86
Possession of a weapon - POWPO,2461
Possession of an explosive/incendiary device,23
Possession of an illegal/dangerous weapon,2461
Possession of burglary tools,440
Possession of cocaine,1301
Possession of contraband,39
Possession of counterfeiting device,33
Possession of drug paraphernalia,4238
Possession of fireworks,3931
Possession of heroin,1326
Possession of identity theft tools,679
Possession of marijuana,292
Possession of methampetamine,3864
Possession of obscene material,31
Possession of opium or an opium derivative,260
Probation violation,8
"Procure for prostitution (trafficking, operating a bordelo)",10
Property crimes - other,308
Prostitution,516
Public  peace - other,404
Public fighting,512
Public order offense - other,7862
Purse snatching without force,295
Rape,2578
Rape by a person in a position of trust,2578
Reckless endangerment,160
Resisting arrest,723
Robbery of a bank,226
Robbery of a business using a weapon,1943
Robbery of a person in a residence,364
Robbery of a person in the open,3248
Selling a barbiturate,7
Selling a hallucinogenic drug,64
Selling a synthetic narcotic drug,163
Selling cocaine,1219
Selling heroin,380
Selling marijuana,196
Selling methampetamine,1116
Selling opium or an opium derivative,627
Sex offender registration violation,237
Sexual assault w/object by a person in a position of trust,58
Sexual assault with an object,58
Shoplifting,12759
Smuggle contraband to prisoner,380
Sodomy of an adult male using bodily force,47
Solicitation to commit homicide,160
Theft - other,34236
Theft by confidence game,38
Theft from a building,7931
Theft from a mailbox,626
Theft from a vending machine,148
Theft of a trailer,34236
Theft of cable services,34236
Theft of construction equipment,34236
Theft of fuel by driving off without paying,34236
Theft of items from a vehicle,39154
Theft of meals,1375
Theft of parts from a vehicle,25486
Theft of rental property,765
Theft of services,1375
Threatening to imminently injure with a weapon,15663
Threatening to injure,10962
Unauthorized use of a financial transaction device,1624
Unlawful discharge of a weapon,7995
Unlawful sale of a weapon,4
Unlawful sexual contact,836
Unlawful sexual contact ,836
Using an explosive/incendiary device,20
Violation of a court order,12288
Violation of a restraining order,6144
Weapon - other,636
Weapon fired into an occupied building,1550
Weapon fired into an occupied vehicle,1550
Window Peeping,92
Wiretapping,5
